Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$71K-$118K (Glassdoor est.),"Strength in Trust


Our goal at OneTrust is to bring the power of trust to companies all over the world. Using cutting-edge technology and a real-world approach to ethics, compliance, privacy, security, and third-party risk, we've created a no-nonsense platform to help supercharge the global push for trust.

The Challenge


We are a looking for a Researcher/Data Scientist to drive the OneTrust research team. This person will be responsible for designing and developing various statistical models and simulations to power Athena's decisions to optimize our customer's privacy and security programs.

Your Mission
Develop working models that can be integrated into OneTrust application and leveraged by customers at scale
Functionally work across engineering teams to take problems the team has and convert/drive solutions for predictive analytics, AI intelligence to the problem in a practical way
Articulate the model and drive the patent portfolio of patenting designs and algorithms for use of the technology
Set the vision for developing complex analytics, data classification and NLP technologies
You Are
Someone who can design, code, build working prototypes to validate ideas and concepts
Someone who has strong math/statistic skills for how to analyze data sets
Someone who has a strong foundation of engineering skills to pick up and understand any technology, system, etc.
Able to understand the different types of trained and untraded AI models and when to appropriately use different techniques based on use case
Self-learning and a self-starter - you have a drive to learn and master new technologies and techniques
Your Experience Includes
PhD or Master's Degree in a quantitative discipline (e.g. statistics, mathematics, financial engineering)
5+ years of relevant experience in designing quantitative models to assess business risks and/or data classification modeling
Experience using statistical computer languages: R, Python, SQL, etc.
Knowledge and/or experience with several languages: Java, JavaScript, etc.
Experience with Azure, AWS or similar cloud computing environment
Expertise with machine learning, data mining, and (robust) statistics
An inclination to solve problems systematically via infrastructure and automation
Strong understanding of data classification, sensitivity, PII, and personal data modeling techniques
Experience in designing data pipelines and products for real world applications
Experience with modern/emerging scalable computing platforms and languages (e.g. Spark)
Extra Awesome
Any modeling work related to Privacy, Security, Compliance that is relevant to the OneTrust market (e.g. NLP work on privacy policies or consent models, risk modeling for ISO compliance)
Our Commitment to You


When you join OneTrust you are stepping onto a launching pad — the countdown has begun. The destination? A career without boundaries working alongside a diverse and inclusive crew who is passionate about doing meaningful work. As a pioneer, your voice and expertise will help chart the direction of an entirely new industry — Trust. Our commitment to putting people first starts with you. Your growth is part of the mission. Our goal is to give you the power to embark on the next phase of your uniquely, unique career

OneTrust provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",2.8,"OneTrust
2.8","Atlanta, GA",-1,1001 to 5000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$106K-$171K (Glassdoor est.),"WHAT WE DO MATTERS:

Here at The Knot Worldwide, we believe in doing work that matters. In 15 countries around the world, our leading family of brands (The Knot, WeddingWire, Bodas, GigMasters, The Bump, How They Asked, Lasting, and more) inspire, inform, and celebrate our communities as they move through life's milestones. From the proposal to creating a home, and starting a family together, we're there for every step of the journey. Our couples and business partners depend on us. They're all in. So are we.

ABOUT THE ROLE AND OUR TEAM:

The Knot Worldwide is in search of a full-time Data Scientist. Our Data Scientists work with stakeholders across all departments within the company. They answer strategic questions and provide insight to internal decision makers ranging from executives and senior management to product managers and team leads. They also work with our product team to develop data driven algorithms that improve features on the website.

RESPONSIBILITIES:
Create smarter product solutions for our couples and vendors
Answer strategic questions by analyzing behavioral data
Communicate, collaborate and present results to clients within The Knot Worldwide
Explore novel ways to look at our data
SUCCESSFUL DATA SCIENTIST CANDIDATES HAVE:
Master's Degree or Ph.D. preferred
Experience implementing auction based business models
Strong product experience
Proficiency in key statistical and machine learning techniques (predictive modeling, classification, clustering, text analytics, recommender systems , data mining methods, forecasting, and other advanced techniques)
Proficiency with R or Python
Familiarity with common Linux command line tasks and version control software like git or svn preferable
Ability to communicate effectively and influence others
Ability to work in a fast paced environment and shift gears quickly
At The Knot Worldwide, we believe you are more than a resume and invite you to go for it, take the leap of faith, and apply for this job if it sparks your passion to join TKWW and make a difference!

WHAT WE LOVE ABOUT YOU:
You Dream Big. You iterate and experiment to drive innovation.
You Love Our Users. You keep our global community at the center of everything you do.
You Respect All Voices. Inclusion strengthens us and powers your decisions.
You Hustle Every Day. You favor urgency and own your outcomes.
You Win Together. People are at the heart of our success and you play as a team.
WHAT YOU LOVE ABOUT US:

The Knot Worldwide offers a unique employee experience and we are deeply proud of our award-winning culture. From flexible vacation and generous parental leave benefits to promoting wellness and giving back to our community, we believe in happiness above all else—in and out of the office.

----

The Knot Worldwide provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, or disability. In addition to federal law requirements, The Knot Worldwide complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. The Knot Worldwide expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status.

--

This position is not eligible for sponsorship.

--

If you are a resident of California, by submitting your application, you acknowledge that you've read the California Privacy Notice.",3.4,"The Knot Worldwide
3.4",Remote,-1,1001 to 5000 Employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Sr Data Scientist,$106K-$171K (Glassdoor est.),"Neustar is an information services and technology company and a leader in identity resolution providing the data and technology that enables trusted connections between companies and people at the moments that matter most. More information is available at https://www.home.neustar.
Job Requisition:
R-3226 Sr Data Scientist (Open)
Primary Location:
NEW YORK
Job Description:
Job Description
Who are we?
As a company built on the foundation of Privacy by Design, for more than 20 years Neustar’s unique capabilities have made us the leader in the field of responsible identity resolution. Neustar enables trusted connections between companies and people at the moments that matter most, with world-class and industry leading solutions in Marketing, Identity, Risk, Communications, Security and Registry services.
Job Requisition:
Senior Data Scientist
Primary Location:
Los Angeles, New York or another major Neustar office in the US (Virtual OK for experienced candidates with record of successful telecommuting)

Job Description:
The senior data scientist will work on challenging problems extracting actionable information out of the many data sources available to Neustar. She/he/they will focus on marketing analytics and privacy-preserving big data analytics, and will be involved in projects from end-to-end, including data ingestion and curation, hypothesis development, feature engineering, and model development and evaluation.
At Neustar senior data scientists create prototypes of new algorithms and support engineering teams in productizing these capabilities. They work closely with various teams including data acquisition, data products, other data science teams within various business units including Risk, Security, and OneID to ensure implementation of capabilities that enable the organization’s vision.
Responsibilities:
·         Algorithm Development: Develop a deep understanding of all the data relevant to the problem to be addressed. Establish deterministic and probabilistic linkages between data sources and develop ways to extract and summarize the sought information in the data using a wide variety of statistical, data mining and machine learning techniques.
·         Prototyping: Create prototypes of productizable ways to perform the analysis at scale, provide documentation and help educate your colleagues in different function about the solution.
·         Support Implementation: Closely work with product, engineering and client teams to incorporate Data Science capabilities into Neustar’s products and services.
Experience and Qualifications:
·         A PhD in an analytical field such as computer science, machine learning, data science, statistics, physics and/or engineering, or a Master’s degree in a related field with 3 to 5 years of experience is a minimum requirement.
·         Minimum 5 years of experience with Python and SQL, and one or more enterprise level programming languages such as Java or Scala.
·         Minimum 2 years of hands-on experience with Linux-based cloud systems such as AWS and GCP.
·         Minimum 2 years of experience with wrangling large (terabytes) event level datasets.
·         Academic or industrial experience in privacy-preserving analytics on large datasets preferred.
·         Some experience writing code for highly distributed systems such as Apache Spark, Dask and Hive.
·         Several years of experience engineering features for machine learning models from raw data.
·         Background in applying optimization theory to real-world problems.
·         Ability to modify cost functions in machine learning algorithms based on business problems.
·         Some experience with TensorFlow or PyTorch.
·         Excellent oral and communication skills.
·         Ability and experience working in a cross-functional environment.
At Neustar, we are committed to the growth and development of our employees whose individual skills, curiosity and passion for their work, contribute to the overall success of our business. Our core values (Accountability, Collaboration, Transparency, Resilience, and Respect) are the driving force of our culture across our locations around the globe. We offer our employees a comprehensive benefits package including perks such as tuition & certification reimbursement, awesome company discounts, community service events, pet swag and much more!  We are all learning and creating together; and having some major fun along the way.
JOIN US!  We can’t wait to meet you!
Neustar does not accept unsolicited resumes from external firms or agencies. Neustar will not be responsible for placement fees associated with unsolicited resumes.
DIVERSITY
Diversity, inclusion and teamwork are second nature to Neustar; and these values permeate our entire business structure. Neustar is committed to creating an environment where a wide spectrum of opinions and beliefs are actively sought, listened to and respected. Further, our talented workforce draws from the many geographic areas and markets in which Neustar operates worldwide, which represents a distinct competitive advantage. The rich and varied personal and professional backgrounds of our employees make Neustar a dynamic and rewarding company at which to build a career. We invite you to join us.

EOE of Minorities/Females/Vets/Disability
Neustar, Inc. considers all applicants for employment without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, or status as a Vietnam-era or special disabled veteran in accordance with federal law and other state and local requirements. Neustar, Inc., complies with applicable state and local laws prohibiting discrimination in employment and provides reasonable accommodation to qualified individuals with disabilities in accordance with the American with Disabilities Act (ADA) and applicable state and local laws.",3.6,"Neustar
3.6","New York, NY",-1,1001 to 5000 Employees,1996,Company - Private,Internet,Information Technology,$500 million to $1 billion (USD),-1
Marketing Intern (Data Science),$106K-$171K (Glassdoor est.),"Grubhub is dedicated to connecting hungry diners with our wide network of restaurants across the country. Our innovative technology, easy-to-use platforms and streamlined delivery capabilities make us an industry leader today, and in the future of online food ordering.
We strive to create a workplace that reflects the diversity of our customers and the communities we serve. When you join our team, you become part of a community that works together to innovate, solve problems, take risks, grow, work hard and have a ton of fun in the process!
Why Work For Us?
We have a fast-paced environment and that is what our teams thrive on. Grubhub believes in empowering people and offering opportunities for development, as well as professional growth. We value strong, positive relationships in all areas: with each other, our customers and our greater community. Want to be a part of a team of diverse collaborators in an authentically fun culture? If so, we want to talk to you - and hear what’s your favorite restaurant for food delivery!

Grubhub Marketing is looking for a Data Science Intern to join the Marketing team from mid September to mid December.
As an Intern on the Marketing Data Science team, we would like to generate data that we can put in restaurant recommendation cards, like badges (e.g., top Italian restaurant, ""trending"") or user reviews (e.g., ""best spaghetti""). This will help diners get a better sense of the restaurant and project us as restaurant experts. You will also work on additional projects as needed throughout the internship program.

SQL Knowledge
Python Knowledge (highly preferred but not required)
Knowledge of Statistics and Machine Learning
Strong organizational skills
Strong communication & interpersonal skills
Ability to work cross-functionally with internal teams
Interest in Analytics and willingness to learn
Ability to execute accurate work in a timely manner
Keen business acumen and ability to apply context to sanity-check numbers
Bachelors degree

MealPerks. Who’s ready for some lunch? We provide our employees with a weekly Grubhub credit to enjoy and support local restaurants.
Grubhub is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics. The EEO is the Law poster is available here: DOL Poster. If you are applying for a job in the U.S. and need a reasonable accommodation for any part of the employment process, please send an e-mail to TalentAcquisition@grubhub.com and let us know the nature of your request and contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address.

CA Privacy Notice: If you are a resident of the State of California and would like a copy of our CA privacy notice, please email privacy@grubhub.com.",3.9,"Grubhub
3.9","Chicago, IL",-1,1001 to 5000 Employees,2004,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1
Data Scientist,$106K-$171K (Glassdoor est.),"TACG is a driven Alaskan Native 8(a) professional consulting firm, that focuses on employee growth in collaboration with client delivery. Our portfolio ranges from support work with Health and Human Services to highly skilled Defense consulting. We have recently been awarded as one of INC.5000's fastest growing companies and received multiple best places to work awards. How can you help shape TACG?
Position Summary:

TACG is looking for a Data Scientist to support the business in defining information/data requirements to allow for the design, development, testing/evaluation, implementation and sustainment of critical business applications and IT capabilities. The Data Scientist will provide technical expertise in Business Intelligence (BI) tools and programming languages to support data analytics, data visualizations, and predictive analysis.

Responsibilities:
Applies analytic methodologies and principles to address client needs.
Applies analytic techniques in the evaluation of project objectives and contributes to the implementation of strategic direction.
Performs analyst functions including data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
Performs data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
Required Knowledge, Skills and Experience:
Excellent analytical skills
Experience using SQL, Python, and R languages for statistical analysis
Experience using Tableau Desktop, Prep Builder and Reader for the generation, sustainment and viewing of data visualization dashboards
Experience in ETL, specifically with data resident on SharePoint
3 years of experience with a Bachelor's Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering; or, 1 year of experience with a Master's Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering.
Education & Certification Requirements:
Four year degree or a Master's Degree in Computer Science, Business, Management or related field
Preferred Skills:
Creative thinker
Strong communication skills
Proficient in MS Office suite of tools, specifically MS Excel.
Excellent team skills.
Experience or understanding of AF or DoD processes, data and systems
Disclaimer:
The above statements are intended to describe the general nature and level of work performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified.

Work Environment:
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions
All work will be performed in an office environment.
Physical Requirements:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The employee is frequently required to talk or hear. The employee is occasionally required to stand, walk; reach with hands and arms to stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by the job include close vision.
Citizenship: United States
Security Clearance: NACI background will be required
Percent of Travel Required: Up to 10%
FLSA Status: Full-time, Exempt
Benefits:
We understand that our employees make us the great company we are, so we want to give back as much as possible. Whether it's our flexible wellness program that gives you the power to do what makes you happy or focusing on career development utilizing our tuition reimbursement, we're sure to have every benefit you're looking for, to also include; matching 401(k), Medical, Vision, and Dental Coverage and much more!

TACG is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",4.6,"TACG Solutions
4.6","Dayton, OH",-1,51 to 200 Employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
Data Scientist,$106K-$171K (Glassdoor est.),"Job Description


Avlino Inc. is seeking experienced data scientists to join our growing team
of AI engineers, analysts, and quantitative developers. The role involves
model construction, information extraction, prediction and finding solutions
to large-scale problems for mission critical applications using large
derived from a broad spectrum of domains for industry specific sectors. The
ideal candidate will have comprehensive expertise in machine learning,
time-series analysis modeling, statistical data analysis, and deep neural
networks. Experience with dynamic programming and reinforcement learning is
a plus.

Demonstrate your experience in creating real-world artificial intelligence
applications using pulsing customer data sets!

This is a great opportunity for an experienced Data Scientist with 4+ years
of relevant experience to work in a fast-paced environment where they can
share their passion for numbers and AI.

Responsibilities
Develop, implement, and use a broad set of machine-learning models and
quantitative techniques for prediction and classification for mission
critical applications.
To find problems in industrial and service sector applications.
Strong background in numerical techniques, optimization, and gradient
methods.
Development of new machine learning algorithms and/or substantial
modification of pre-existing techniques.
Analysis of high-volume, noisy, heterogeneous real-time data.
Collaborate with business analysts to transform customer needs into
actionable insights.
Design custom end user reports that are easy to read and interpret for
multiple business unit audiences.
Architect the next generation analytical platform.
Capable of de novo implementation of mathematical models, or to avail
widely used open source programming platforms and libraries (Scala, R,
python, TensorFlow).

Requirements
MUST: Solid 5 years of experience in machine learning, statistical
modeling, data mining, time-series forecasting, and neural networks.
MUST: Solid 5 years of experience working with big data technologies
distributed computing such as Hadoop/Spark, Map/Reduce, TensorFlow.
MUST: Solid 5 years of experience in multiple programming languages –
C#/.NET, C++, C, Scala, Python, R, Java.
Experience in developing or implementing enterprise class Data Analytics
and BI solutions.
Extremely analytical and able to solve problems independently.
Assesses customer requirements and translate them to appropriate
deliverables.
MUST: Have an analytical mind, and on point with detailed specifics.
MUST: Education: MS/Ph.D. (Preferred) in Computer Science, Physics, or a
related discipline.
PLUS: Experience in the logistics or transportation industry.",4.6,"Avlino
4.6",New Jersey,-1,1 to 50 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),-1
"Data Scientist, Senior Level",$106K-$171K (Glassdoor est.),"Category: Data Scientist

Title: Data Scientist, Senior Level (50-277)

Location(s): Chantilly, VA

Required Security Clearance: Active TS/SCI with appropriate agency Polygraph

Salary: Maximum of $160,000/year

Geodata IT, a subsidiary of Freedom Consulting Group, is currently seeking a Senior Data Scientist, in Chantilly, VA.

This position required a bachelor s degree in Computer Science, Statistics, Applied Math or equivalent and five to seven years of relevant work experience.

The Senior Data Scientist will be responsible for producing innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. And applying knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement. He or she needs to be able to use a flexible, analytical approach to design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from the data. You must have knowledge on generating and testing hypotheses and analyzing and interpreting the results of product experiments.

Previous experience using R, Matlab, Python Scikit-learn or other statistical modeling packages, with a focus on machine learning; experience with NLP is a plus. The ideal candidate will have experience in developing production systems for processing large volumes of structured and unstructured data in Java, Python or similar technology stack and Hadoop technology stack (Map reduce, HIVE/PIG, etc. Excellent verbal and written communication and being a strong team player, capable of working collaboratively is required.

This position falls within the DoD 8570 baseline of IAT II. You must have an active TS/SCI and a CompTIA Security +. A copy of your certificate(s) will be required before you can be submitted for the position.

Geodata IT values quality and has an eye for unrecognized talent. Specialized knowledge will be given consideration when evaluating the years of experience requirement. We love coworkers that can bring forward new ideas to move the GIS community forward.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or national origin.

Required Security Clearance: Active TS/SCI with an appropriate agency Polygraph is required

U.S. Citizenship is required

Applicant Federal & E-Verify Postings

VEVRAA Federal Contractor",4.4,"FREEDOM CONSULTING GROUP
4.4","Chantilly, VA",-1,51 to 200 Employees,2004,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1
Data Scientist,$106K-$171K (Glassdoor est.),"Zynga is a leading developer of the world’s most popular social games that are played by people around the world every single day. To-date, more than 1 billion people have played our games across Web and mobile, including Words With Friends, FarmVille, Zynga Poker, Merge Dragons, Empires & Puzzles, Hit it Rich! Slots and CSR.

Zynga’s Marketing Data Science and Analytics team uses our outstanding and expansive data to deliver fundamental insights on who our audience is, how they engage with our games, and what are the best ways to acquire them. We strive for a better understanding of our players which translates into challenges and features that delight them.

Here’s where you would come in: identify and formalize problems related to campaign optimization. Design and develop systems and services to optimize campaigns at scale. Be innovative, be creative, use every bit of that key commodity – data. Millions of people play Zynga games every day, so our data is tremendously rich, and we have a lot of it!

We will rely on you to communicate your findings to your peers – both technical and non-technical. Your solutions to difficult problems will need to be demonstrably impactful, visual and maintainable. You will collaborate with engineering teams to build proof-of-concept and MVPs of campaign bidders and optimizers. You will collaborate with User Acquisition Managers, Product Managers, and Engineers to deliver business impact.

Responsibilities:
Design and implement scalable systems and models to experiment with campaigns and creatives across channels and acquire users at scale
Work with large amounts of data to find and realize opportunities to acquire and re-target users profitably delivering unambiguous business metric impact
Craft effective campaign strategies to acquire users across a multitude of user acquisition channels
Drive and empower user acquisition team to make quantitatively informed, evidence based decisions - through custom visualizations, and ETLs to augment user data
Design, test, verify and implement machine learning models with Zynga’s games that impact millions of users. Models may include but not limited to LTV modelling, campaign bid recommendations, budget allocation, clustering/segmentation, forecasting, fraud detection, and / or reinforcement learning
Build prototypes and MVPs of services and applications that improve effectiveness of campaigns, creatives, ad networks and/or user segments.
Required Skills and Experience:
B.S. or B.A. in Math, Statistics, Comp Sci, Engineering, or other quantitative field required; Masters, MBA or PhD preferred
5+ years of relevant work experience in data science or analytics role in a Marketing Analytics or a User Acquisition Analytics Team
Familiar with mobile performance marketing and/or user acquisition landscape
Strong experience in SQL;
Proficient in Python; Proven fundamental programming skills (algorithms, data structures, OOP, OS, Networking, AWS Cloud); Ability to design distributed systems
Ability to build and maintain software services and systems at scale; experience in deploying services in at least one cloud provider (AWS, Google Cloud or Azure)
Proven experience with some of the following: machine learning, predictive modeling, deep learning
Experience in analyzing large datasets, preferably in a Hadoop or Spark environment, and deploying production ready systems at scale
Strong written and oral communication skills
Strong passion for gaming and performance marketing!
Zynga is an equal opportunity employer. We are proud of our broad community; we do not discriminate on the basis of race, sex, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, medical condition, disability, or any other class or characteristic protected by applicable law. We welcome job-seekers, players, employees, and partners from all backgrounds. Join us!

We will consider all qualified job-seekers with criminal histories in a manner consistent with applicable law.

Zynga is committed to providing reasonable accommodation to applicants with disabilities. If you need an accommodation during the interview process, please let us know.",4.1,"Zynga
4.1","Austin, TX",-1,1001 to 5000 Employees,2007,Company - Public,Video Games,Media,$500 million to $1 billion (USD),-1
Data Scientist/Machine Learning Expert,$106K-$171K (Glassdoor est.),"26-Aug-2020

Job ID
301660BR
{""QuestionName"":""Job Description"",""AnswerValue"":""ONE Global Discovery Chemistry Community working across 7 disease areas at the Novartis Institutes for BioMedical Research (NIBR) is seeking a hardworking and motivated Data Scientist to join our Computer-Aided Drug Discovery (CADD) Department in Cambridge, MA. The successful candidate will join an energizing and collaborative research organization, working alongside colleagues who are dedicated to improving human health through the discovery of transformative medicines.

We are seeking an outstanding data scientist with the skills, experience and passion to extract new knowledge and ground-breaking insights from the expanded body of data collected by one of the world’s leading pharmaceutical companies. You will be a member of our global CADD group, an interdisciplinary team of expert molecular modelers, cheminformaticians, and data scientists. Teamed up with domain specialists from biology, chemistry and translational medicine, this is a unique opportunity to develop and apply cutting-edge machine learning technologies to uncover insights to real-world drug discovery problems and innovate paths to transformative medicines.

What you'll do:
Develop and implement approaches for extracting patterns and correlations from both internal and external data sources using machine learning toolkits
Develop workflows for conducting comparative analysis among Novartis’ diverse data sources as well as generalizing approaches crafted in-house or externally.
Enable open-source solutions for internal use and implement cutting-edge published scientific methods.
Develop customized machine learning solutions including data querying and knowledge extraction.
Interact and be part of matrixed project teams to drive effective decision-making by mining and developing predictive models
Develop skills in the area of cheminformatics and drug discovery and improve those to accelerate development of novel machine learning algorithms
Know the latest breakthroughs in scientific literature and interact with scientists to integrate data science technologies
Posting Title
Data Scientist/Machine Learning Expert",4.0,"Novartis
4.0","Cambridge, MA",-1,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Data Scientist,$106K-$171K (Glassdoor est.),"At Varen, our performance is measured by the success of our clients, and our reputation for service, superior quality, objectivity, integrity and results. Our reputation is everything to us as we are committed to being a trusted advisor to our nations decision makers in a day in age that demands acute attention to detail in a fast-paced environment. Varen is seeking to add the sharpest technical professionals who share our passion for ensuring the mission success of our customers at all times.

We are looking for Data Scientists with various years of experience. In these positions you will work closely with the client to review and respond to data science requirements. These positions will involve analyzing both structured and unstructured data using data analytics, natural language processing, and artificial intelligence/machine learning techniques.

Experience with training and optimizing machine learning models and coordinating with data engineering components to deploy trained models to work on production data at scale is desired.

EDUCATION:


BS degree in technical field and 3+ years of experience

CLEARANCE REQUIREMENT:

TS/SCI w/poly clearance
Varen Technologies, Inc. is an Equal Opportunity Employer and applicants receive lawful consideration for employment without regard to race, religion, color, gender, age, national origin, disability, or veteran status.",4.2,"Varen Technologies
4.2","McLean, VA",-1,51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1
Data Scientist,$106K-$171K (Glassdoor est.),"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","Atlanta, GA",-1,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
